"Country","Region","Year","Age_min","Age_max","N_seropos","N_tot"
"Comoros","Grande Comore Island",2005,5,14,3,12
"Comoros","Grande Comore Island",2006,15,24,12,52
"Comoros","Grande Comore Island",2007,25,34,12,59
"Comoros","Grande Comore Island",2008,35,44,15,61
"Comoros","Grande Comore Island",2009,45,54,14,52
"Comoros","Grande Comore Island",2010,55,110,20,64
