Country,Region,Year,Age_min,Age_max,N_seropos,N_tot
Ethiopia,Lare_Itang,2018-2019,18,30,4,36
Ethiopia,Lare_Itang,2018-2019,31,40,4,25
Ethiopia,Lare_Itang,2018-2019,41,65,6,29
